City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
328,Westport,US,41.1415,-73.3579,89.28,66,0,11.5,clear sky
329,Hamilton,US,39.1834,-84.5333,91.99,70,75,13.8,broken clouds
330,Wana,PK,32.2989,69.5725,80.8,61,0,2.48,clear sky
331,Husavik,IS,66.0449,-17.3389,45.52,88,91,1.9,overcast clouds
332,Along,IN,28.1667,94.7667,75.87,99,100,0.36,overcast clouds
333,Jishou,CN,28.3167,109.7167,79.56,91,96,1.52,overcast clouds
334,Sola,VU,-13.8833,167.55,80.92,79,35,20.49,scattered clouds
335,Garowe,SO,8.4054,48.4845,75.51,45,45,14.41,scattered clouds
336,Tiksi,RU,71.6872,128.8694,40.06,85,64,21.63,broken clouds
337,Margate,GB,51.3813,1.3862,69.69,79,18,4.0,few clouds
338,Urucuca,BR,-14.5931,-39.2844,70.61,98,31,2.82,scattered clouds
339,Broken Hill,AU,-31.95,141.4333,46.81,93,99,12.39,overcast clouds
340,Lebu,CL,-37.6167,-73.65,52.39,97,100,8.32,overcast clouds
341,Picota,PE,-6.9197,-76.3304,82.89,74,53,0.89,broken clouds
342,Las Matas De Farfan,DO,18.8731,-71.5166,77.07,73,3,6.11,clear sky
343,Abalak,RU,58.1286,68.5944,59.41,97,100,1.21,moderate rain
344,Guiratinga,BR,-16.3494,-53.7583,72.84,34,25,4.65,scattered clouds
345,Waipawa,NZ,-41.4122,175.5153,45.61,94,100,29.95,light rain
346,Fukuma,JP,33.7667,130.4667,86.29,85,100,8.88,overcast clouds
347,Port Lincoln,AU,-34.7333,135.8667,54.07,72,55,13.24,broken clouds
348,Vao,NC,-22.6667,167.4833,74.12,89,99,10.02,overcast clouds
